"Ticker","Sector","Market Cap","Return on Equity","LT Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Quarter)","Performance (Half Year)","Performance (Year)"
"ILMN","Healthcare",24711.52,22.10%,0.50,70.00%,24.60%,18.70%,13.75%,3.89%,-14.10%
"INTC","Technology",170622.33,16.80%,0.39,61.50%,22.00%,17.80%,14.75%,18.51%,28.10%
"INTU","Technology",28744.83,95.50%,0.42,84.00%,26.50%,20.90%,3.92%,13.39%,31.81%
"IP","Consumer Goods",20198.14,18.70%,2.19,28.60%,7.70%,3.60%,15.00%,28.77%,21.69%
"IPG","Services",9204.23,25.60%,0.79,,10.70%,6.40%,-2.35%,9.03%,23.28%
"IR","Industrial Goods",17762.98,24.10%,0.58,30.80%,11.60%,10.70%,4.50%,18.77%,30.41%
"IRM","Technology",10148.24,8.10%,2.75,56.60%,14.00%,2.50%,6.48%,27.51%,45.36%
"ISRG","Healthcare",26550.43,14.80%,0.00,68.40%,34.00%,26.80%,8.30%,20.20%,33.99%
"ITW","Industrial Goods",43191.39,38.20%,1.27,41.80%,22.20%,14.70%,13.03%,25.24%,48.96%
"IVZ","Financial",13186.97,10.60%,0.73,69.80%,25.40%,17.30%,3.81%,10.57%,-0.67%
"JBHT","Services",9085.25,33.50%,0.69,20.40%,11.50%,6.90%,-2.57%,0.89%,7.66%
"JCI","Consumer Goods",29310.71,6.40%,0.49,18.80%,5.10%,1.80%,3.14%,23.19%,16.90%
"JEC","Services",6318.07,4.80%,0.11,15.80%,2.70%,1.80%,0.56%,25.15%,29.52%
